Time,Open,High,Low,Last,Change,%Chg,Volume
04/04/2005,1.0863,1.0895,1.0835,1.086,-0.0009,-0.08%,0
04/01/2005,1.0855,1.0975,1.0835,1.0869,0.0018,+0.17%,0
03/31/2005,1.0884,1.0906,1.0788,1.0851,-0.0036,-0.33%,0
03/30/2005,1.086,1.0896,1.0845,1.0887,0.0042,+0.39%,0
03/29/2005,1.0862,1.0914,1.0753,1.0845,-0.0021,-0.19%,0
03/28/2005,1.0815,1.088,1.0753,1.0866,0.0052,+0.48%,0
03/25/2005,1.0824,1.0843,1.0801,1.0814,-0.0016,-0.15%,0
03/24/2005,1.0763,1.0835,1.0736,1.083,0.0085,+0.79%,0
03/23/2005,1.0705,1.0781,1.0675,1.0745,0.0053,+0.50%,0
03/22/2005,1.0671,1.0714,1.064,1.0692,0.0014,+0.13%,0
03/21/2005,1.066,1.0696,1.0647,1.0678,0,0.00%,0
03/18/2005,1.0676,1.0703,1.0612,1.0678,0,0.00%,0
03/17/2005,1.0667,1.0688,1.065,1.0678,0.0008,+0.07%,0
03/16/2005,1.0678,1.0694,1.065,1.067,-0.0009,-0.08%,0
03/15/2005,1.067,1.0712,1.0617,1.0679,0.0015,+0.14%,0
03/14/2005,1.0721,1.0745,1.0657,1.0664,-0.0056,-0.52%,0
03/11/2005,1.0719,1.0749,1.0694,1.072,0.0007,+0.07%,0
03/10/2005,1.0734,1.076,1.0679,1.0713,-0.0013,-0.12%,0
03/09/2005,1.0795,1.0835,1.0695,1.0726,-0.0062,-0.57%,0
03/08/2005,1.078,1.0802,1.0751,1.0788,0.001,+0.09%,0
03/07/2005,1.0785,1.0787,1.0742,1.0778,-0.0011,-0.10%,0
03/04/2005,1.0767,1.0804,1.0744,1.0789,0.0023,+0.21%,0
03/03/2005,1.0773,1.079,1.0725,1.0766,-0.0019,-0.18%,0
03/02/2005,1.0824,1.0853,1.0726,1.0785,-0.0038,-0.35%,0
03/01/2005,1.0897,1.0912,1.0781,1.0823,-0.0076,-0.70%,0
02/28/2005,1.0893,1.092,1.0818,1.0899,0.0012,+0.11%,0
02/25/2005,1.0909,1.0918,1.0806,1.0887,-0.0019,-0.17%,0
02/24/2005,1.0896,1.0921,1.0862,1.0906,0.0017,+0.16%,0
02/23/2005,1.0909,1.0925,1.0836,1.0889,-0.0025,-0.23%,0
02/22/2005,1.0887,1.0918,1.0804,1.0914,0.0038,+0.35%,0
02/21/2005,1.0909,1.0921,1.0842,1.0876,-0.0038,-0.35%,0
02/18/2005,1.0981,1.0989,1.0863,1.0914,-0.0059,-0.54%,0
02/17/2005,1.101,1.1033,1.0937,1.0973,-0.002,-0.18%,0
02/16/2005,1.1005,1.1013,1.0936,1.0993,0.0011,+0.10%,0
02/15/2005,1.1027,1.1032,1.0932,1.0982,-0.0049,-0.44%,0
02/14/2005,1.1012,1.1039,1.0975,1.1031,0.0009,+0.08%,0
02/11/2005,1.101,1.1029,1.087,1.1022,-0.0007,-0.06%,0
02/10/2005,1.095,1.105,1.0897,1.1029,0.0086,+0.79%,0
02/09/2005,1.096,1.0973,1.0897,1.0943,-0.002,-0.18%,0
02/08/2005,1.0962,1.0981,1.0887,1.0963,-0.0003,-0.03%,0
02/07/2005,1.0824,1.0975,1.0779,1.0966,0.0125,+1.15%,0
02/04/2005,1.0858,1.0866,1.0772,1.0841,-0.0019,-0.17%,0
02/03/2005,1.09,1.0901,1.0828,1.086,-0.0035,-0.32%,0
02/02/2005,1.0873,1.0906,1.0844,1.0895,0.0012,+0.11%,0
02/01/2005,1.0915,1.0926,1.0837,1.0883,-0.0017,-0.16%,0
01/31/2005,1.0857,1.0922,1.084,1.09,0.0013,+0.12%,0
01/28/2005,1.0861,1.0892,1.0828,1.0887,0.0026,+0.24%,0
01/27/2005,1.0821,1.0874,1.0806,1.0861,0.0033,+0.30%,0
01/26/2005,1.0785,1.083,1.0739,1.0828,0.0047,+0.44%,0
01/25/2005,1.0783,1.0817,1.072,1.0781,0.0007,+0.06%,0
01/24/2005,1.0773,1.08,1.0752,1.0774,0,0.00%,0
01/21/2005,1.0746,1.0806,1.0698,1.0774,0.0006,+0.06%,0
01/20/2005,1.0838,1.0862,1.0711,1.0768,-0.0062,-0.57%,0
01/19/2005,1.085,1.0858,1.0802,1.083,-0.0031,-0.29%,0
01/18/2005,1.0887,1.09,1.0837,1.0861,-0.0032,-0.29%,0
01/17/2005,1.0863,1.0897,1.0807,1.0893,0.004,+0.37%,0
01/14/2005,1.0873,1.0981,1.083,1.0853,-0.0029,-0.27%,0
01/13/2005,1.0853,1.0906,1.0826,1.0882,0.0033,+0.30%,0
01/12/2005,1.0925,1.0938,1.0836,1.0849,-0.0075,-0.69%,0
01/11/2005,1.0921,1.0943,1.0889,1.0924,0,0.00%,0
01/10/2005,1.089,1.095,1.0833,1.0924,0.0015,+0.14%,0
01/07/2005,1.0901,1.0927,1.0827,1.0909,-0.0011,-0.10%,0
01/06/2005,1.0932,1.0946,1.0864,1.092,-0.001,-0.09%,0
01/05/2005,1.0887,1.096,1.0873,1.093,0.0034,+0.31%,0
01/04/2005,1.09,1.097,1.0842,1.0896,-0.0017,-0.16%,0
01/03/2005,1.0874,1.0924,1.0808,1.0913,0.0013,+0.12%,0
12/31/2004,1.0847,1.0919,1.0797,1.09,0.0045,+0.41%,0
12/30/2004,1.0842,1.0873,1.0795,1.0855,0.0017,+0.16%,0
12/29/2004,1.0796,1.0902,1.0761,1.0838,0.0028,+0.26%,0
12/28/2004,1.0763,1.0826,1.0739,1.081,0.0047,+0.44%,0
12/27/2004,1.073,1.0794,1.071,1.0763,0.0049,+0.46%,0
12/24/2004,1.0755,1.0772,1.0703,1.0714,-0.0036,-0.33%,0
12/23/2004,1.0742,1.0857,1.0688,1.075,0.002,+0.19%,0
12/22/2004,1.0766,1.0794,1.0708,1.073,-0.0041,-0.38%,0
12/21/2004,1.0702,1.0853,1.0695,1.0771,0.0123,+1.16%,0
12/20/2004,1.0696,1.0753,1.0624,1.0648,-0.0034,-0.32%,0
12/17/2004,1.0655,1.071,1.0587,1.0682,0.0026,+0.24%,0
12/16/2004,1.0636,1.0683,1.0593,1.0656,0.0026,+0.24%,0
12/15/2004,1.0662,1.0679,1.0613,1.063,-0.0036,-0.34%,0
12/14/2004,1.068,1.0726,1.0653,1.0666,-0.0029,-0.27%,0
12/13/2004,1.0662,1.0704,1.0593,1.0695,0.0031,+0.29%,0
12/10/2004,1.062,1.0698,1.0594,1.0664,0.0039,+0.37%,0
12/09/2004,1.0568,1.0694,1.0566,1.0625,0.0023,+0.22%,0
12/08/2004,1.0725,1.0811,1.0602,1.0602,-0.0186,-1.72%,0
12/07/2004,1.0753,1.0793,1.0726,1.0788,0.0042,+0.39%,0
12/06/2004,1.0835,1.0835,1.0712,1.0746,-0.0095,-0.88%,0
12/03/2004,1.082,1.0858,1.0735,1.0841,0.0021,+0.19%,0
12/02/2004,1.0829,1.085,1.0745,1.082,0.0004,+0.04%,0
12/01/2004,1.0829,1.0838,1.0766,1.0816,0.0033,+0.31%,0
11/30/2004,1.0932,1.0948,1.0775,1.0783,-0.0171,-1.56%,0
11/29/2004,1.1022,1.1048,1.0926,1.0954,-0.0071,-0.64%,0
11/26/2004,1.1068,1.1082,1.0982,1.1025,-0.0022,-0.20%,0
11/25/2004,1.108,1.11,1.1026,1.1047,-0.0034,-0.31%,0
11/24/2004,1.1032,1.1101,1.1012,1.1081,0.0042,+0.38%,0
11/23/2004,1.1024,1.1058,1.1005,1.1039,0.0012,+0.11%,0
11/22/2004,1.1038,1.1059,1.0962,1.1027,-0.003,-0.27%,0
11/19/2004,1.1001,1.1066,1.098,1.1057,0.0036,+0.33%,0
11/18/2004,1.1049,1.1052,1.0932,1.1021,-0.0026,-0.24%,0
11/17/2004,1.1044,1.107,1.0894,1.1047,-0.0001,-0.01%,0
11/16/2004,1.1031,1.105,1.0954,1.1048,-0.0005,-0.05%,0
11/15/2004,1.11,1.11,1.1003,1.1053,-0.0045,-0.41%,0
11/12/2004,1.1113,1.1117,1.1021,1.1098,-0.0022,-0.20%,0
11/11/2004,1.1093,1.122,1.1061,1.112,0.0006,+0.05%,0
11/10/2004,1.1019,1.114,1.1015,1.1114,0.0077,+0.70%,0
11/09/2004,1.0956,1.1041,1.088,1.1037,0.0081,+0.74%,0
11/08/2004,1.094,1.0975,1.0907,1.0956,-0.0034,-0.31%,0
11/05/2004,1.0966,1.1019,1.0934,1.099,0.0023,+0.21%,0
11/04/2004,1.0946,1.1004,1.0918,1.0967,0.0023,+0.21%,0
11/03/2004,1.0897,1.099,1.0879,1.0944,0.0058,+0.53%,0
11/02/2004,1.0921,1.0926,1.0857,1.0886,-0.0038,-0.35%,0
11/01/2004,1.0949,1.1065,1.0887,1.0924,-0.0007,-0.06%,0
10/29/2004,1.0925,1.0954,1.0884,1.0931,0.0031,+0.28%,0
10/28/2004,1.0841,1.0921,1.0817,1.09,0.0155,+1.44%,0
10/27/2004,1.0723,1.0795,1.0683,1.0745,0.0039,+0.36%,0
10/26/2004,1.066,1.0712,1.0658,1.0706,0.0036,+0.34%,0
10/25/2004,1.064,1.0674,1.0613,1.067,0.0048,+0.45%,0
10/22/2004,1.0637,1.0678,1.0616,1.0622,-0.0023,-0.22%,0
10/21/2004,1.0639,1.0663,1.0615,1.0645,0.0014,+0.13%,0
10/20/2004,1.061,1.065,1.059,1.0631,0.0036,+0.34%,0
10/19/2004,1.0645,1.0646,1.0576,1.0595,0.0006,+0.06%,0
10/18/2004,1.0657,1.0658,1.0579,1.0589,-0.0045,-0.42%,0
10/15/2004,1.071,1.0728,1.0621,1.0634,-0.0082,-0.77%,0
10/14/2004,1.0726,1.0748,1.0679,1.0716,-0.0003,-0.03%,0
10/13/2004,1.0764,1.0782,1.0718,1.0719,-0.0051,-0.47%,0
10/12/2004,1.0756,1.0786,1.0707,1.077,0.0022,+0.20%,0
10/11/2004,1.0759,1.079,1.0736,1.0748,0.0018,+0.17%,0
10/08/2004,1.0767,1.0772,1.0716,1.073,-0.0028,-0.26%,0
10/07/2004,1.0718,1.0773,1.0687,1.0758,0.0037,+0.35%,0
10/06/2004,1.0745,1.0765,1.0702,1.0721,-0.0029,-0.27%,0
10/05/2004,1.0796,1.0802,1.0725,1.075,-0.0024,-0.22%,0
10/04/2004,1.0716,1.0797,1.0716,1.0774,0.0021,+0.20%,0
10/01/2004,1.0734,1.0792,1.0689,1.0753,0.0015,+0.14%,0
09/30/2004,1.0705,1.0748,1.0667,1.0738,0.0041,+0.38%,0
09/29/2004,1.072,1.0739,1.0656,1.0697,-0.0024,-0.22%,0
09/28/2004,1.0721,1.0752,1.0687,1.0721,0.0001,+0.01%,0
09/27/2004,1.0696,1.0729,1.0642,1.072,0.004,+0.37%,0
09/24/2004,1.0707,1.0721,1.067,1.068,-0.0035,-0.33%,0
09/23/2004,1.0665,1.0731,1.0649,1.0715,0.0051,+0.48%,0
09/22/2004,1.0601,1.068,1.0577,1.0664,0.0054,+0.51%,0
09/21/2004,1.0597,1.0616,1.0573,1.061,0.0018,+0.17%,0
09/20/2004,1.057,1.0613,1.0561,1.0592,0.0021,+0.20%,0
09/17/2004,1.0588,1.0602,1.055,1.0571,-0.0007,-0.07%,0
09/16/2004,1.0586,1.0615,1.0564,1.0578,0.0011,+0.10%,0
09/15/2004,1.0602,1.0617,1.0549,1.0567,-0.0025,-0.24%,0
09/14/2004,1.0603,1.0623,1.0571,1.0592,-0.0006,-0.06%,0
09/13/2004,1.0631,1.0633,1.0585,1.0598,-0.0008,-0.08%,0
09/10/2004,1.0545,1.0636,1.0534,1.0606,0.0056,+0.53%,0
09/09/2004,1.0725,1.0725,1.0532,1.055,-0.0175,-1.63%,0
09/08/2004,1.0729,1.0758,1.0673,1.0725,0.0009,+0.08%,0
09/07/2004,1.0662,1.0741,1.0638,1.0716,0.0058,+0.54%,0
09/06/2004,1.0699,1.0704,1.0651,1.0658,-0.0032,-0.30%,0
09/03/2004,1.0752,1.0779,1.0599,1.069,-0.0048,-0.45%,0
09/02/2004,1.073,1.0757,1.0683,1.0738,0.0012,+0.11%,0
09/01/2004,1.0743,1.0768,1.067,1.0726,-0.0031,-0.29%,0
08/31/2004,1.076,1.0779,1.0714,1.0757,0.0005,+0.05%,0
08/30/2004,1.0745,1.0788,1.0703,1.0752,0.0002,+0.02%,0
08/27/2004,1.0796,1.0826,1.0729,1.075,-0.0047,-0.44%,0
08/26/2004,1.0862,1.0881,1.0794,1.0797,-0.007,-0.64%,0
08/25/2004,1.0882,1.0903,1.0809,1.0867,-0.0004,-0.04%,0
08/24/2004,1.0786,1.089,1.0739,1.0871,0.0103,+0.96%,0
08/23/2004,1.0766,1.0796,1.0736,1.0768,0.0004,+0.04%,0
08/20/2004,1.0782,1.0817,1.0729,1.0764,-0.0042,-0.39%,0
08/19/2004,1.0779,1.0844,1.0758,1.0806,0.0036,+0.33%,0
08/18/2004,1.0777,1.0793,1.0742,1.077,-0.001,-0.09%,0
08/17/2004,1.0797,1.0818,1.0746,1.078,-0.0007,-0.06%,0
08/16/2004,1.0774,1.0827,1.0759,1.0787,0.0029,+0.27%,0
08/13/2004,1.0851,1.0871,1.0753,1.0758,-0.0096,-0.88%,0
08/12/2004,1.0913,1.0927,1.0818,1.0854,-0.0049,-0.45%,0
08/11/2004,1.0928,1.0973,1.0888,1.0903,-0.0023,-0.21%,0
08/10/2004,1.096,1.0967,1.0911,1.0926,-0.0034,-0.31%,0
08/09/2004,1.0939,1.098,1.0905,1.096,0.0023,+0.21%,0
08/06/2004,1.0928,1.1018,1.0876,1.0937,0.0013,+0.12%,0
08/05/2004,1.0909,1.0937,1.0894,1.0924,0.0017,+0.16%,0
08/04/2004,1.093,1.0952,1.0892,1.0907,-0.0027,-0.25%,0
08/03/2004,1.0979,1.1021,1.0914,1.0934,-0.0056,-0.51%,0
